requisition_id,candidate_id,candidate,label,note
p72_us_healthcare_therapeutics,chen-li-alex,Chen Li (Alex),no,
p72_us_healthcare_therapeutics,marina-silva-costa,Marina Silva Costa,no,
p72_us_healthcare_therapeutics,marcus-chen-rodriguez,Marcus Chen-Rodriguez,yes,
p72_us_healthcare_therapeutics,michael-rodriguez,Michael Rodriguez,no,
p72_us_healthcare_therapeutics,omar-el-hassan,Omar El-Hassan,no,
p72_us_healthcare_therapeutics,priya-nakamura,Priya Nakamura,no,
p72_us_healthcare_therapeutics,ryan-patel,Ryan Patel,yes,
p72_us_healthcare_therapeutics,vikram-shah,Vikram Shah,no,
p72_us_healthcare_therapeutics,viktor-sharat,Viktor Sharat,no,
p72_us_healthcare_therapeutics,dr-zara-al-rashid,Zara Al-Rashid,no,
mlm_us_healthcare_origination,chen-li-alex,Chen Li (Alex),no,
mlm_us_healthcare_origination,marina-silva-costa,Marina Silva Costa,no,
mlm_us_healthcare_origination,marcus-chen-rodriguez,Marcus Chen-Rodriguez,yes,
mlm_us_healthcare_origination,michael-rodriguez,Michael Rodriguez,no,
mlm_us_healthcare_origination,omar-el-hassan,Omar El-Hassan,no,
mlm_us_healthcare_origination,priya-nakamura,Priya Nakamura,no,
mlm_us_healthcare_origination,ryan-patel,Ryan Patel,yes,
mlm_us_healthcare_origination,vikram-shah,Vikram Shah,no,
mlm_us_healthcare_origination,viktor-sharat,Viktor Sharat,no,
mlm_us_healthcare_origination,dr-zara-al-rashid,Zara Al-Rashid,no,
mlm_mumbai_healthcare_research,chen-li-alex,Chen Li (Alex),no,
mlm_mumbai_healthcare_research,marina-silva-costa,Marina Silva Costa,no,
mlm_mumbai_healthcare_research,marcus-chen-rodriguez,Marcus Chen-Rodriguez,no,
mlm_mumbai_healthcare_research,michael-rodriguez,Michael Rodriguez,no,
mlm_mumbai_healthcare_research,omar-el-hassan,Omar El-Hassan,no,
mlm_mumbai_healthcare_research,priya-nakamura,Priya Nakamura,yes,
mlm_mumbai_healthcare_research,ryan-patel,Ryan Patel,no,
mlm_mumbai_healthcare_research,vikram-shah,Vikram Shah,no,
mlm_mumbai_healthcare_research,viktor-sharat,Viktor Sharat,yes,
mlm_mumbai_healthcare_research,dr-zara-al-rashid,Zara Al-Rashid,yes,
us_quant_analyst_strategies,chen-li-alex,Chen Li (Alex),no,
us_quant_analyst_strategies,marina-silva-costa,Marina Silva Costa,no,
us_quant_analyst_strategies,marcus-chen-rodriguez,Marcus Chen-Rodriguez,borderline,
us_quant_analyst_strategies,michael-rodriguez,Michael Rodriguez,borderline,
us_quant_analyst_strategies,omar-el-hassan,Omar El-Hassan,no,
us_quant_analyst_strategies,priya-nakamura,Priya Nakamura,no,
us_quant_analyst_strategies,ryan-patel,Ryan Patel,borderline,
us_quant_analyst_strategies,vikram-shah,Vikram Shah,borderline,
us_quant_analyst_strategies,viktor-sharat,Viktor Sharat,no,
us_quant_analyst_strategies,dr-zara-al-rashid,Zara Al-Rashid,no,
